route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"92-19-j22-1","TA+qW","1055.TA.92-19-j22-1.7.R","Vernier"," village","20365",9352
"92-19-j22-1","TA+qW","1056.TA.92-19-j22-1.7.R","Vernier"," village","20478",9352
"92-19-j22-1","TA+qW","1057.TA.92-19-j22-1.7.R","Vernier"," village","20367",9352
"92-19-j22-1","TA+qW","1058.TA.92-19-j22-1.7.R","Vernier"," village","20410",9352
"92-19-j22-1","TA+w0100","1059.TA.92-19-j22-1.7.R","Vernier"," village","19178",9352
"92-19-j22-1","TA+jp000","106.TA.92-19-j22-1.1.H","Genève"," Jonction","18555",9352
"92-19-j22-1","TA+jp000","1060.TA.92-19-j22-1.7.R","Vernier"," village","19178",9352
"92-19-j22-1","TA+qW","1061.TA.92-19-j22-1.7.R","Vernier"," village","20450",9352
"92-19-j22-1","TA+qW","1062.TA.92-19-j22-1.7.R","Vernier"," village","20454",9352
"92-19-j22-1","TA+qW","1063.TA.92-19-j22-1.7.R","Vernier"," village","20493",9352
"92-19-j22-1","TA+qW","1064.TA.92-19-j22-1.7.R","Vernier"," village","20427",9352
"92-19-j22-1","TA+qW","1065.TA.92-19-j22-1.7.R","Vernier"," village","20456",9352
"92-19-j22-1","TA+qW","1066.TA.92-19-j22-1.7.R","Vernier"," village","20349",9352
"92-19-j22-1","TA+qW","1067.TA.92-19-j22-1.7.R","Vernier"," village","20394",9352
"92-19-j22-1","TA+qW","1068.TA.92-19-j22-1.7.R","Vernier"," village","20429",9352
"92-19-j22-1","TA+qW","1069.TA.92-19-j22-1.7.R","Vernier"," village","20412",9352
"92-19-j22-1","TA+qW","107.TA.92-19-j22-1.1.H","Genève"," Jonction","20108",9352
"92-19-j22-1","TA+jp000","1070.TA.92-19-j22-1.7.R","Vernier"," village","19206",9352
"92-19-j22-1","TA+w0100","1071.TA.92-19-j22-1.7.R","Vernier"," village","19206",9352
"92-19-j22-1","TA+w0100","1072.TA.92-19-j22-1.7.R","Vernier"," village","19039",9352
"92-19-j22-1","TA+jp000","1073.TA.92-19-j22-1.7.R","Vernier"," village","19039",9352
"92-19-j22-1","TA+qW","1074.TA.92-19-j22-1.7.R","Vernier"," village","20482",9352
"92-19-j22-1","TA+jp000","1075.TA.92-19-j22-1.7.R","Vernier"," village","18996",9352
"92-19-j22-1","TA+w0100","1076.TA.92-19-j22-1.7.R","Vernier"," village","18996",9352
"92-19-j22-1","TA+jp000","1077.TA.92-19-j22-1.7.R","Vernier"," village","19115",9352
"92-19-j22-1","TA+w0100","1078.TA.92-19-j22-1.7.R","Vernier"," village","19115",9352
"92-19-j22-1","TA+w0100","1079.TA.92-19-j22-1.7.R","Vernier"," village","19170",9352
"92-19-j22-1","TA+jp000","108.TA.92-19-j22-1.1.H","Genève"," Jonction","18587",9352
"92-19-j22-1","TA+jp000","1080.TA.92-19-j22-1.7.R","Vernier"," village","19170",9352
"92-19-j22-1","TA+qW","1081.TA.92-19-j22-1.7.R","Vernier"," village","20448",9352
"92-19-j22-1","TA+w0100","1082.TA.92-19-j22-1.7.R","Vernier"," village","19138",9352
"92-19-j22-1","TA+jp000","1083.TA.92-19-j22-1.7.R","Vernier"," village","19138",9352
"92-19-j22-1","TA+qW","1084.TA.92-19-j22-1.7.R","Vernier"," village","19740",9352
"92-19-j22-1","TA+qW","1085.TA.92-19-j22-1.7.R","Vernier"," village","20425",9352
"92-19-j22-1","TA+qW","1086.TA.92-19-j22-1.7.R","Vernier"," village","20345",9352
"92-19-j22-1","TA+qW","1087.TA.92-19-j22-1.7.R","Vernier"," village","19860",9352
"92-19-j22-1","TA+qW","1088.TA.92-19-j22-1.7.R","Vernier"," village","20390",9352
"92-19-j22-1","TA+qW","1089.TA.92-19-j22-1.7.R","Vernier"," village","20408",9352
"92-19-j22-1","TA+w0100","109.TA.92-19-j22-1.1.H","Genève"," Jonction","18587",9352
"92-19-j22-1","TA+w0100","1090.TA.92-19-j22-1.7.R","Vernier"," village","18364",9352
"92-19-j22-1","TA+jp000","1091.TA.92-19-j22-1.7.R","Vernier"," village","18364",9352
"92-19-j22-1","TA+jp000","1092.TA.92-19-j22-1.7.R","Vernier"," village","19176",9352
"92-19-j22-1","TA+w0100","1093.TA.92-19-j22-1.7.R","Vernier"," village","19176",9352
"92-19-j22-1","TA+qW","1094.TA.92-19-j22-1.7.R","Vernier"," village","19839",9352
"92-19-j22-1","TA+jp000","1095.TA.92-19-j22-1.7.R","Vernier"," village","18998",9352
"92-19-j22-1","TA+w0100","1096.TA.92-19-j22-1.7.R","Vernier"," village","18998",9352
"92-19-j22-1","TA+qW","1097.TA.92-19-j22-1.7.R","Vernier"," village","20458",9352
