stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
1400015,"Gaillard Libération",46.1916149478912,6.21145493182612,,
1400017,"Gaillard Millet",46.1913848600709,6.21661126155768,,
1400361,"Saint-Julien Lycée de Staël",46.1411280299141,6.07007807239171,,
1400398,"Beaumont le Châble",46.098954796308,6.10318099061612,,
1400646,"Saint-Julien Rue des Muguets",46.1366339115263,6.08057937806453,,
1400679,"Ferney  mairie",46.2556413891828,6.10811274152663,,
1400719,"Gex centre",46.3317890269621,6.05851675468348,,
1400939,"Saint-Julien Casino",46.1288834967472,6.09015541899458,,
1400941,"Neydens Centre de Loisirs",46.1205342395247,6.09472784379138,,
1400943,"Neydens-Les Mouilles",46.116343568669,6.09731499181,,
1401005,"Prévessin-Moëns mairie",46.2544301667454,6.08101955255381,,
1401031,"Saint-Genis Jean Monnet",46.2452177894506,6.02327584608257,,
1401097,"Sergy gare",46.2484792597527,6.01132825280211,,
1401150,"Viry La Côte",46.1124701838208,6.05174345744028,,
1401186,"Chens-sur-Léman (F)",46.3173844657285,6.26709658053223,,
1401231,"Saint-Julien Route Feigères",46.1368331045972,6.07898936001142,,
1401233,"Saint-Julien centre",46.1447193261967,6.08219634557617,,
1401235,"Saint-Julien Cervonnex",46.1328055296997,6.08662503992749,,
1401257,"Thoiry centre commercial",46.227117765505,5.99248159813866,,
1401326,"Veigy douane (F)",46.2764205561455,6.24658804259292,,
1401636,"Collonges-sous-Salève marché",46.1420429924539,6.13914055144443,,
1401637,"Archamps Pont de Combe",46.1377605878451,6.12788466093285,,
1401638,"Saint-Julien Lathoy hameau",46.1412836368613,6.10434880048564,,
1401639,"Saint-Julien-en-Genevois gare",46.1431259896867,6.08510688709712,,
1401640,"Saint-Julien hôpital",46.1460263256228,6.07987869214282,,
1401647,"Challex école",46.1790395474168,5.96860437788344,,
1401649,"Challex La Halle",46.1820375054046,5.97282645971939,,
1401650,"Challex Poizat",46.181160526311,5.9747758038862,,
1401651,"Challex église",46.1833125209771,5.97629395671658,,
1401652,"Challex Corbière",46.1792572469656,5.97648260292627,,
1401654,"Challex Fontanettes",46.1810423507537,5.98229470281533,,
1401655,"Challex Gaillardin (F)",46.1788031869307,5.98471117092995,,
1401656,"Challex Les Baraques (F)",46.1766074738577,5.98573525035399,,
1401678,"Cessy centre",46.3141829370406,6.06676328899285,,
1401679,"Cessy les Hauts",46.3230549308509,6.06734719392761,,
1401682,"Cessy Saint-Denis",46.3190720178644,6.07073384254921,,
1401684,"Cessy Côte du Moralay",46.3177753372148,6.07173995566756,,
1401702,"Archamps Centre de convention",46.1360612274338,6.12329426983036,,
1401703,"Archamps Communauté-Commun",46.1378788563979,6.11760793408109,,
1401707,"Beaumont Route de Viry",46.093927721652,6.10299234440643,,
1401709,"Chênex La Boutique",46.1113928113487,5.99044242244343,,
1401711,"Collonges-Salève Bourg Haut",46.138271008203,6.14568028671373,,
1401712,"Collonges-sous-Salève mairie",46.1404433541218,6.14495265133349,,
1401732,"Ferney Avenue du Jura",46.2578401553966,6.11374517835884,,
1401733,"Ferney Bois Candide",46.2449506509103,6.09404512417535,,
1401734,"Ferney Brunette",46.2533431494732,6.11679945032527,,
1401735,"Ferney Château",46.2589519273503,6.10703476318553,,
1401736,"Ferney douane (F)",46.2509889067781,6.11794031073626,,
1401737,"Ferney Jargilières",46.2555544305146,6.11680843347811,,
1401738,"Ferney Levant",46.2604798006324,6.11493095453404,,
1401739,"Ferney Lycée",46.2641626697505,6.11501180290962,,
1401740,"Ferney Planche-Brulée",46.2550513097987,6.10053994368044,,
1401755,"Gex Georges Charpak",46.3355725418813,6.06750889067877,,
1401756,"Gex L'Aiglette",46.3380347872084,6.0734198052491,,
1401767,"Ornex Fruitière",46.272440458948,6.09621904716323,,
1401768,"Ornex Les Roussets",46.263609944633,6.10274081612684,,
1401769,"Ornex Prénépla",46.2696026780417,6.09853670059658,,
1401775,"Pougny gare (F)",46.1436425843102,5.96053750663093,,
1401776,"Prévessin Ancienne Douane",46.2473362141376,6.07977089430871,,
1401777,"Prévessin Bretonnière",46.2513802522767,6.07425523846345,,
1401778,"Prévessin Collège Le Joran",46.2556165438631,6.07261132149328,,
1401779,"Prévessin Hauts-de-Magny",46.2548028534216,6.08714606279236,,
1401780,"Prévessin Les Aglands",46.2544798584486,6.06794008201521,,
1401781,"Prévessin Parc des Anneaux",46.2485413811145,6.08663402308034,,
1401783,"Prévessin Terraillet",46.2555854871976,6.09409003993957,,
1401787,"Saint-Genis CERN Alice",46.2508087626736,6.02555756690455,,
1401788,"Saint-Genis Champ Fusy",46.2465286132023,6.02828844536865,,
1401789,"Saint-Genis Clos des Vignes",46.2406141270793,6.0162779700183,,
1401790,"Saint-Genis Hautains",46.2442424168563,6.02633910120184,,
1401791,"Saint-Genis Lion",46.241819441737,6.02571028050287,,
1401792,"Saint-Genis Mitterrand",46.2503925654109,6.02933947425122,,
1401793,"Saint-Genis Schumann",46.2426519632043,6.03470241649816,,
1401794,"Saint-Genis théâtre",46.242527707071,6.02256617700801,,
1401795,"Saint-Julien Arande",46.140169481421,6.08028293402073,,
1401796,"Saint-Julien Docteur Palluel",46.1430948693738,6.07726459466567,,
1401797,"Saint-Julien Hutins",46.1484161871807,6.0862657138138,,
1401798,"Saint-Julien Route de Lathoy",46.1417753519238,6.09511411936361,,
1401800,"Ségny centre",46.2960746436443,6.07572847552961,,
1401801,"Sergy centre",46.252715775413,5.99926387853471,,
1401802,"Sergy Les Longets",46.2503615057871,6.00511191103514,,
